10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2025-12-09 10:47:18.207606
10:47:18 09.12.2025 [             deliver.file]: |   INFO|: Files at C:\Users\tutor\MSU\Main\20251202\1\sample\repo...
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: User C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first, TASK_ID=first, USER_ID=Smart stud
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: Added task first           for user Smart student  
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second, TASK_ID=second, USER_ID=Smart st
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: Added task second          for user Smart student  
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: User C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first, TASK_ID=first, USER_ID=Beautifu
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: Added task first           for user Beautiful student
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second, TASK_ID=second, USER_ID=Beauti
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: Added task second          for user Beautiful student
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: User C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first, TASK_ID=first, USER_ID=The teache
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: Added task first           for user The teacher    
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second, TASK_ID=second, USER_ID=The teac
10:47:18 09.12.2025 [             deliver.file]: |  DEBUG|: Added task second          for user The teacher    
10:47:18 09.12.2025 [                     make]: |   INFO|: Parse and store all homeworks...
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/01, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/02, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/01, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/02, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
